TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.414875283,0.297823,0.157273,0.0487759,1.41761,9.75606e-06,0.680669,0.22974,2.0399,0.110714,0.85421,1.53069,0.0431903
2.461315193,0.268494,0.0769147,0.170891,1.51045,0.0026672,0.626699,0.449545,2.04746,0.112676,0.813977,1.60293,0
2.507755102,0.260751,0.00981867,0.25412,1.6133,0.00275592,0.505759,0.466245,1.94269,0.119787,0.615169,1.85863,0
2.554195011,0.264243,0.0677588,0.18076,1.85608,0.108096,0.404021,0.26599,1.88356,0.101259,0.411624,1.96421,0
2.600634921,0.271735,0.246166,0.00103763,1.77507,0.0705669,0.38788,0.0286639,2.15629,0.0738246,0.186948,1.85375,0
2.647074830,0.379902,0.24737,0,1.91462,0.0769365,0.456327,0.0154608,2.39175,0.0198201,0.182237,1.48376,0
2.693514739,0.392042,0.133377,0.0341091,1.71547,0.0528602,0.55665,0.11295,2.34531,0.0515838,0.133894,1.17718,0.015596
2.739954649,0.400079,0.0980591,0.0571603,1.63747,0.131472,0.571229,0.200148,2.11092,0.0736431,0.658075,0.865675,0.000791173
2.786394558,0.34876,0.192332,0.0265708,1.8864,0.206629,0.48008,0.328861,1.90425,0.0343889,1.01117,0.833769,0
2.832834467,0.370694,0.35916,0.0036009,1.95591,0.278992,0.368971,0.44339,1.7939,0.0219709,0.917177,0.855467,0
2.879274376,0.448045,0.460379,0.156893,1.83716,0.198656,0.347914,0.462629,1.52716,0.0190822,0.708928,0.71585,0
2.925714286,0.501814,0.570629,0.0217938,1.7915,0.161964,0.242598,0.462293,1.38449,0,0.642573,0.551202,0
2.972154195,0.506299,0.565099,0.00291835,1.89399,0.147897,0.17719,0.626652,1.41892,0,0.789297,0.417409,0
3.018594104,0.444265,0.525038,0.001351,1.92949,0.133824,0.220677,0.725302,1.77337,0,0.632069,0.441871,0
3.065034014,0.326493,0.572041,0.00134798,1.80812,0.115119,0.419205,0.594708,2.2096,0.0363268,0.183683,0.604962,0
3.111473923,0.269722,0.563867,0.00320096,1.68007,0.0714219,0.498947,0.393039,2.39357,0.0693002,0.257825,0.731543,0
