TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.647074830,0.0698106,0.142892,1.51481,0.0218572,0.274106,0.385155,0.432887,3.6896,0.28255,0.0203048,0.326288,0.294039
2.693514739,0.00184151,0.143506,1.59923,0,0.256113,0.235932,0.263974,4.0715,0.0131968,0.02165,0.657665,0.444404
2.739954649,0.000432616,0.168265,1.66002,0,0.235997,0.124213,0.0725319,4.2345,0,0.0358452,0.903916,0.46573
2.786394558,0.000332204,0.11618,1.78155,0,0.109129,0.0919294,0.0236926,4.28015,0.00817957,0.0755155,1.07147,0.498632
2.832834467,0.00024956,0.0524298,1.85978,0,0.00362685,0.0210113,0.0433775,4.29348,0.021684,0.127731,1.25173,0.475264
2.879274376,0.00413769,0.04979,1.98997,0,0.0041928,0.0290851,0.0823547,4.35396,0.0165204,0.145768,1.42473,0.236298
2.925714286,0,0.0406775,2.2322,0,0.00222384,0.0327711,0.104522,4.32585,0.00202085,0.135132,1.61349,0.0285763
2.972154195,0,0.0502728,2.29193,0,0.0126616,0.0338852,0.102954,4.2,0,0.0766859,1.73387,0
3.018594104,0,0.0682492,2.21447,0,0.0146001,0.0213013,0.0976726,4.31025,5.52248e-05,0.0396212,1.74935,0
3.065034014,0,0.0776831,2.16983,0,0.0197941,0,0.116342,4.2953,0,0.00416907,1.86223,0
3.111473923,0,0.0715308,2.35672,0.000143735,0.025259,0.00244729,0.121674,4.15406,0,0.0126585,1.88785,0.035599
3.157913832,0,0.104169,2.46741,0.0108443,0.0139055,0.0346968,0.285349,4.06193,0,0.0219504,1.74436,0.0230004
3.204353741,0,0.130756,2.4086,0.00627097,0,0.0571458,0.129014,4.1502,0,0.00120268,1.64546,0.0559054
3.250793651,0,0.0742835,2.27718,0,0,0.0603291,0.0631867,4.16448,0,0.000126779,1.61134,0.27551
3.297233560,0.0110381,0.0916896,2.24133,0,0,0.0421461,0.039503,4.15586,0,0,1.64821,0.405589
3.343673469,0.0305698,0.11922,2.16676,0.00152934,0.00862299,0.0402745,0.0647078,4.07445,0.0056223,0.00740216,1.66055,0.308061
3.390113379,0.0944315,0.0741337,2.37032,0.00275926,0.0505755,0.0776327,0.0676866,3.9751,0.0131707,0.01334,1.56075,0
3.436553288,0.119983,0.10402,2.40629,0.00177005,0.0278866,0.263119,0.0658624,3.90715,0.0140211,0.0132639,1.51951,0.159752
3.482993197,0.099378,0.134354,2.41353,0,0.0109349,0.441062,0.0620553,3.92275,0.0100237,0.0135169,1.51906,0.259244
3.529433107,0.0807737,0.121718,2.34997,0,0.00940775,0.413154,0.064067,3.98024,0.003521,0.0133661,1.51997,0.373581
3.575873016,0.000224772,0.140376,2.15097,0.000406208,0.0206234,0.258458,0.0510719,4.20014,0.02112,0.011251,1.61182,0.362193
3.622312925,0.000547701,0.157597,2.12551,0.00135858,0.0222106,0.0982096,0.0235942,4.29493,0.0579461,0.0511842,1.79126,0.252912
3.668752834,0.000298623,0.130058,2.04427,0.000451399,0.018643,0.139697,0.0179648,4.32387,0.0404759,0.0489079,1.92777,0.150168
3.715192744,0,0.115796,1.90771,0.0459835,0.0249644,0.283069,0.0278068,4.34287,0.0269792,0.00508261,1.95296,0.0938715
3.761632653,0,0.127532,1.84761,0.00814139,0.0303264,0.392433,0.0267803,4.19169,0,0.00657873,2.01842,0.153181
3.808072562,7.57607e-05,0.158913,1.81227,0.0162946,0.0220163,0.443032,0.0130196,4.12924,0,0.00775359,1.98293,0.257206
3.854512472,0.000179699,0.161377,1.8918,0.0170423,0.0127542,0.401804,0.0159849,4.23871,0,0.00683507,1.864,0.371049
3.900952381,0.000312875,0.113166,1.91437,0.0181634,0,0.355559,0.00402227,4.39498,0,0.0261098,1.74536,0.449828
3.947392290,0.000200928,0.0512459,1.87373,0.0152057,0,0.427985,0.0293618,4.1746,0.0079091,0.0868493,1.53228,0.576231
3.993832200,0.000125958,0.134362,1.57566,0.0123267,0,0.668128,0,4.14866,0.0456997,0.0753471,0.887428,0.622372
4.040272109,0.0189899,0.317067,1.29439,0.0123976,0,0.602592,0.0126486,4.17476,0.12462,0.0104027,1.08671,0.671036
4.086712018,0.0545538,0.33401,1.32809,0.0138476,0,0.348342,0.0420466,4.11934,0.0859157,0.012178,1.48033,0.462806
4.133151927,0.0626526,0.0976928,1.75619,0.0165639,0,0.214202,0.0498104,4.10519,0.014991,0.0132867,1.70899,0.310479
4.179591837,0.0132539,0.0454031,1.8879,0.016724,0,0.200534,0.0454701,4.22979,0,0.011574,1.80404,0.25213
4.226031746,0.108376,0.139648,1.66189,0.0132262,0,0.195719,0.0390517,4.16216,0.0421824,0.0120382,1.96113,0.236212
4.272471655,0.123534,0.372614,1.46799,0.0188518,0,0.404144,0.0590379,4.08954,0.0134771,0.0116757,2.05263,0.0996986
4.318911565,0.126158,0.455363,1.49516,0.0313256,0,0.626017,0.0564775,3.84442,0.000239373,0.0101113,1.92031,0.143994
4.365351474,0.139586,0.4381,1.70554,0,0,0.745941,0.0650223,3.66107,0.00101349,0.0096394,1.82199,0.193193
4.411791383,0.0878046,0.281953,1.71766,0,0,0.745458,0.0506657,3.60711,0.00145971,0.0100416,2.0959,0.384873
4.458231293,0.026253,0.0565843,1.68256,0,0,0.731638,0.0263819,3.64224,0.0262142,0.00982927,2.43087,0.361212
4.504671202,0,0.0864472,1.82469,0.0153426,0.0156577,0.723392,0.0106964,3.65864,0.056256,0.00882788,2.46773,0.249824
4.551111111,0,0.135923,1.90805,0.0179919,0,0.620373,0.00583416,3.76799,0.0780911,0.005779,2.52016,0.173938
4.597551020,0.0344697,0.165475,1.94093,0.0178061,0,0.542723,0.00526382,3.91862,0.0778355,0.00281495,2.52876,0.143898
4.643990930,0.0322344,0.167082,1.96912,0.0147986,0.0135339,0.471769,0,4.06038,0.0023016,0.0100246,2.54752,0.181503
4.690430839,0,0.161331,1.92017,0.00178497,0.0179969,0.432934,0.0180817,4.15663,0,0.0161108,2.53504,0.236664
4.736870748,0.000376733,0.0864924,1.96104,0.000289238,0,0.412343,0.0269052,4.02186,0,0.0115045,2.50165,0.250211
4.783310658,0.00034635,0.0905415,1.96543,0.00239404,0,0.413602,0.0416996,3.79402,0,0.00512298,2.45844,0.347149
4.829750567,0.000236479,0.0906626,1.76888,0,0,0.403116,0.0232422,3.5388,0.281775,0,2.32821,0.868295
4.876190476,0.000240338,0.0823071,1.61056,0.0522816,0,0.353427,0.0390904,3.29625,0.318215,0,2.27468,0.755621
4.922630385,0.000560628,0.0772583,1.49073,0.219348,0,0.280604,0.00544559,3.3149,0.161582,0,2.23824,0.716413
4.969070295,0.000600562,0.0798763,1.53202,0,0,0.261507,0,3.44501,0.0752203,0,2.37386,0.861169
5.015510204,0.00825469,0.0799603,1.53285,0,0,0.399084,0.00371184,3.55309,0.055037,0,2.42575,1.04067
5.061950113,0.000415401,0.0821428,1.55259,0,0,0.489479,0.0065173,3.68148,0.0282318,0,2.43684,1.19817
5.108390023,0.000390754,0.0762352,1.63933,0,0.00379196,0.38384,0.0161682,3.85189,0,0,2.40517,1.04376
5.154829932,0.000241371,0.0474429,1.22721,0.0991205,0.0688929,0.217087,0.0071002,3.71704,0.00330579,0,2.38274,0.971016
5.201269841,0.000208763,0.0451811,1.22785,0.103992,0.292329,0.214266,0.0321574,3.41066,0.00573586,0.0559174,2.31398,0.912605
5.247709751,0.050716,0.141513,1.63307,0,0.115911,0.517291,0.0769803,3.03016,0.00187008,0.0825967,2.36406,0.972495
5.294149660,0.135866,0.223305,2.04825,0.00838939,0.0635265,0.794707,0.0544215,2.85217,0,0.0861481,2.36725,0.912453
5.340589569,0.171622,0.216755,2.34769,0.0171094,0,1.07096,0.0530079,2.793,0,0.0359544,2.29434,0.867778
5.387029478,0.140647,0.081669,2.40324,0.0174274,0.00467801,1.31794,0.0333474,2.90393,0,0.0182267,2.31256,0.948554
5.433469388,0.0239751,0.050407,2.35803,0.00868047,0.0256955,1.47499,0.0223373,2.91063,0,0.0770266,2.37451,1.08799
5.479909297,0,0.05679,2.40723,0,0.00778809,1.49003,0.0509767,2.95954,0,0.0721681,2.40138,1.18642
5.526349206,0.000152174,0.0558854,2.56932,0,0.00749541,1.32152,0.293857,3.07733,0.024896,0.102287,2.52196,0.963697
5.572789116,0,0.109836,2.51348,0,0,1.19054,0.123255,3.22353,0.0442579,0.0889613,2.6577,0.602885
5.619229025,0.051631,0.131186,2.24967,0,0.00209661,1.25046,0.0653466,3.24475,0.0598107,0.0907923,2.63673,0.680651
5.665668934,0.176294,0.131014,2.10498,0,0.0110571,1.3368,0.0638733,3.2378,0.0500961,0.100541,2.60153,0.739191
5.712108844,0.356058,0.103138,2.19029,0.00361159,0.0141886,1.27025,0.071149,3.09376,0,0.106635,2.65478,0.673933
5.758548753,0.3998,0.0822213,2.3515,0.00925498,0.0116731,1.05065,0.083898,2.90658,0,0.0956098,2.74199,0.440806
5.804988662,0.261803,0.0884187,2.40532,0.00117447,0.0138734,0.928393,0.164136,2.79576,0,0.0828516,2.7688,0
5.851428571,0.190634,0.105159,2.37493,0,0.027178,1.15819,0.189738,2.61292,0.0428093,0.0626012,2.44686,0
5.897868481,0.249833,0.110723,2.36375,0,0.0210022,1.17547,0.138163,2.75395,0.0501836,0.0823491,2.33634,0
5.944308390,0.259489,0.18113,2.31964,0.0166419,0.167456,1.05155,0.0620925,2.84094,0.137999,0.0210266,2.31595,0
5.990748299,0.290981,0.472226,2.18827,0.0183353,0.283069,0.781071,0,2.43301,0.0397524,0.734151,2.00206,0.111047
6.037188209,0.152049,0.193155,2.30111,0.0477381,0.506149,0.828082,0.120153,1.65635,0.686657,1.02979,1.30214,0.323036
6.083628118,0,0.091197,2.55139,0.0407265,0.716219,1.20472,0.170989,1.45894,0.81659,1.32566,0.909179,0.273042
6.130068027,0,0.0933136,2.62996,0.00644386,0.467686,1.39609,0.364687,1.47613,0.61755,1.79052,0.843698,0.215005
6.176507937,0,0.145612,2.75866,0.00962683,0.355061,1.49245,0.394734,1.64331,0.184997,2.00579,0.879481,0.157133
6.222947846,0.00290195,0.191317,2.86733,0.00877308,0.354991,1.51435,0.2751,1.97751,0,1.83091,1.36318,0.0894037
6.269387755,0.0343888,0.225339,2.83459,0.00180262,0.247797,1.24779,0.108066,2.34605,0,1.7305,2.09973,0.019718
6.315827664,0.000199432,0.223353,2.84162,0,0.198916,1.19727,0.0645741,2.55985,0.0567556,1.73678,2.18213,0.0227949
6.362267574,0.0153331,0.228236,2.9043,0,0.0557873,1.30207,0.0690168,2.67339,0.0739462,1.69494,2.05629,0.0484233
6.408707483,0.0202109,0.251465,2.97281,0.00870968,0.0166363,1.43825,0.11216,2.62778,0.0831007,1.65473,1.87423,0.0557765
6.455147392,0.109337,0.264537,2.98964,0.00834721,0,1.62933,0.102538,2.65802,0.0732678,1.50797,1.93951,0.0465163
6.501587302,0.151936,0.229488,2.87403,0.00316665,0.0240235,1.6495,0.0289993,2.82999,0.0668355,1.28346,2.29572,0.0204081
6.548027211,0.0876105,0.097852,2.78455,0.00488187,0.0274903,1.63277,0,2.87134,0.0214847,0.973251,2.78127,0
6.594467120,0.0718157,0.0789818,2.85884,0.0105838,0.0251094,1.67437,0.000619293,2.35891,0.212225,0.576649,2.55901,0.420964
6.640907029,0.0191356,0.0375261,1.99375,0.0158772,0.0200043,1.52924,0.085637,2.48952,0.207114,0.409129,2.63168,0.338098
6.687346939,0.0072325,0,1.36419,0.0213907,0.0550212,1.45489,0.0796442,2.49459,0.183814,0.219738,2.68577,0.163527
6.733786848,0,0.0394767,1.61448,0.0208797,0.0125608,1.45437,0.00567369,2.47363,0.29049,0.043602,2.46785,0.0471869
6.780226757,0,0.098024,2.04604,0.0186565,0.00767856,1.42543,0,2.42012,0.363104,0,2.36474,0.0953481
6.826666667,0,0.118302,2.36243,0.0166499,0.00639013,1.42438,0,2.35207,0.148171,0,2.67978,0.0930563
6.873106576,0.00063388,0.043782,2.57104,0.0362021,0,1.51089,0.0346329,2.05879,0.0581962,0,2.59152,0.0277978
6.919546485,8.28823e-05,0.0513211,2.43803,0.0449824,0,1.43373,0.131509,2.10012,0.0549866,0.0648779,2.73908,0.0860498
6.965986395,0.110719,0.0684078,2.12522,0.020598,0,1.46647,0.145448,2.71327,0.0681616,0.187211,2.81127,0.10564
7.012426304,0.135347,0.122213,1.94445,0.13574,0,1.44176,0.100235,3.13197,0.0747187,0.248244,2.84463,0.145858
7.058866213,0.0940145,0.211588,1.90959,0,0.0021099,1.52247,0.0737433,3.14359,0.0942921,0.269095,2.83235,0.148996
7.105306122,0.0161195,0.163986,1.88417,0,0.00530651,1.5287,0.0241459,3.1052,0.117231,0.288322,2.98344,0.047357
7.151746032,8.44365e-05,0.049408,1.83415,0,0.00940275,1.30558,0.00968125,3.13406,0.156102,0.293135,3.01441,0.0853779
7.198185941,0.00506037,0.0307255,1.63543,0,0.00372546,0.922769,0,3.3088,0.159478,0.341606,2.84277,0.107064
7.244625850,0.692942,0.0197267,1.27676,0,0.583428,0.270059,0,3.2629,0.132481,0.690531,2.40765,0.143331
7.291065760,1.6958,0.0191922,0.731157,0.0152899,1.37694,0.839006,0.023768,2.28671,0.149647,1.2986,1.82987,0.0960715
7.337505669,2.27005,0.0841568,0.179642,0.0364224,1.62027,1.0284,0,1.3791,0.630261,1.56302,1.40807,0
7.383945578,2.55168,0.0800139,0.342157,0.0169592,1.67815,1.07174,0.0062706,1.38839,0.499412,1.52794,1.31684,0
7.430385488,3.06004,0.049327,0.282365,0.0998364,1.60922,1.10993,0.0261232,1.29113,0.527024,1.37696,0.941292,0
7.476825397,2.89802,0.0526362,0.223432,0.0123147,1.9278,0.909027,0.0242754,1.27824,0.887757,0.897094,0.860454,0.0981807
7.523265306,3.06785,0.214262,0.0840666,0.00397419,1.80173,0.103001,0.0185619,1.57136,0.800008,0.612296,0.718287,0.0833558
7.569705215,3.43656,0.138245,0.000795705,0.00138374,1.47839,0.0977594,0.15228,1.79197,0.662776,0.424983,0.711442,0.0537077
7.616145125,3.77455,0.0503376,0.000547687,0.00283822,1.39972,0.0727624,0.193853,1.87237,0.426359,0.204037,0.658384,0.0238078
7.662585034,4.12125,0.0237526,0.000374142,0.00334117,1.52226,0.0290095,0.172376,1.86599,0.0138559,0.173382,0.500338,0.00055567
7.709024943,4.2634,0.0169809,0.0823747,0.000730788,1.65219,0.0153646,0.11455,1.77003,0.00513392,0.177738,0.578384,0
7.755464853,4.07657,0.025445,0.0279467,0.00810933,1.71494,0.00504152,0.0924209,1.89851,0,0.0808987,0.793775,0
7.801904762,3.99833,0.00714203,0,0.00344124,1.6572,0.00164974,0.113217,2.01533,0,0.104753,0.67413,0.00479073
7.848344671,4.10215,0.000751898,0,0.00162038,1.53233,0.00103607,0.141355,1.99262,0,0.139839,0.427644,0.020347
7.894784580,4.29259,0.00462832,0,0,1.63302,0.0122497,0.0751305,2.07747,0,0.138852,0.151268,0.028449
7.941224490,4.32086,0.0235046,0,0,1.72629,0.0354743,0.0546068,2.02658,0,0,0.297663,0.0253682
7.987664399,4.31299,0.0323368,0,0,1.56257,0.0363984,0.0334019,2.02446,0.0110862,0.10885,0.270139,0.0303358
8.034104308,4.40049,0.00814646,0,0.00703838,1.50293,0.0104198,0.160841,1.91412,0,0.163316,0.110691,0
8.080544218,4.414,0,0,0.002774,1.73452,0.0248516,0.118799,1.58694,0.0126363,0.231229,0.000448188,0.00697012
8.126984127,4.25535,0.0247343,0,0,2.14129,0.0423327,0.0676975,1.35954,0.744581,0.0239163,0.000479669,0
8.173424036,4.22742,0.0226908,0,0,2.38642,0.0423622,0.0824499,1.55123,0.833031,0.0593112,0.0123255,0
8.219863946,4.22034,0.0160306,0,0,2.45988,0.0314098,0.0809178,1.95188,0.401563,0.0246486,0.0246464,0
8.266303855,4.20792,0.011803,0.037765,0.00422748,2.53734,0.0330572,0.323514,2.10859,0.0126124,0.0193767,0.0314939,0.00783387
8.312743764,4.32546,0.0155926,0.0809712,0.0110632,2.66117,0.00718253,0.184048,2.1657,0.00644941,0.00871454,0.0459597,0.0358056
8.359183673,4.26948,0.0287936,0.113395,0.00866529,2.86543,0.00160516,0.108697,1.81927,0.0015957,0.0325174,0.137475,0.0139409
8.405623583,3.89441,0.0417837,0.0972252,0,3.07803,0.00691892,0.112709,1.17184,0.000352818,0.00837402,0.206236,0.00744932
8.452063492,3.95455,0.00247116,0.0807721,0,2.95144,0.00565929,0.128124,0.748308,0,0.00646381,0.113947,0.0357938
8.498503401,3.99734,0.00192239,0.0693278,0,2.73708,0.00865841,0.110118,0.665795,0,0.0020189,0.0911554,0.0403927
8.544943311,4.13561,0.000600855,0.0575523,0.0127912,2.62087,0.00291922,0.037614,0.783009,0.0211384,0.000204066,0.0559922,0.039856
8.591383220,4.13684,0.00243528,0.0373901,0.0153294,2.72382,0.0360884,0.0116768,0.889424,0.0409233,0.000377004,0.0199307,0.0266695
8.637823129,4.12155,0.00234497,0.0199768,0,2.69653,0.040407,0.0564288,1.01696,0,0.000326952,0.00441795,0.0125524
8.684263039,4.14071,0.00285457,0.00101518,0,2.48561,0.0151726,0.179749,0.965808,0,0.000274387,0,0.0142021
8.730702948,4.16335,0.00720453,0.00222629,0,2.42261,0.00848348,0.108342,0.96239,0.040091,0.00032235,0.0217841,0.00730602
8.777142857,4.09361,0.0139833,0.0029667,0,2.53587,0,0.00852112,0.942906,0.372392,0.02446,0.091401,0.0161118
8.823582766,3.96128,0.0522572,0.00278253,0.00848233,2.65357,0.00573885,0,0.958714,0.445106,0.0567761,0.0909538,0.016497
8.870022676,3.70283,0.0357827,0.00209287,0.0128099,2.52147,0.0179494,0.0740424,1.18375,0.172745,0.0520459,0.0887128,0.0255371
8.916462585,3.53148,0.0169095,0.00274124,0.0170431,2.51359,0.0384285,0.141643,1.16219,0,0.00780299,0.102085,0.0388699
8.962902494,3.57258,0.049731,0.00325911,0.0175813,2.54197,0.00538333,0.0833284,1.04277,0.208454,0.0194785,0.0280853,0.0312407
9.009342404,3.39843,0.0456423,0.077669,0.0148701,2.35424,0,0.000297265,0.902698,1.02424,0.301988,0,0.0133776
9.055782313,3.03087,0.00254804,0.173174,0.00978418,2.60484,0.00558952,0.00888494,1.0163,1.17165,0.305841,0.036032,0.00995473
9.102222222,3.19139,0.00343049,0.22425,0.00260458,2.70454,0.00942322,0.0137301,1.10122,1.16703,0.245237,0.0745371,0.0162511
9.148662132,3.19338,0.00357957,0.251573,0,2.76415,0.00455674,0.0980465,1.22731,1.14504,0.205037,0.127166,0.0245876
9.195102041,3.22847,0.00342542,0.258495,0,2.76322,0,0.088978,1.39688,1.00806,0.237896,0.161242,0.0358936
9.241541950,4.11149,0.00784874,0.253084,0,2.65828,0.00384332,0.0215586,1.32946,0.756787,0.234409,0.047994,0.067062
9.287981859,4.55579,0.00282253,0.216559,0,2.65714,0.00405111,0.174183,1.56543,0,0.0406221,0.0323569,0.104909
9.334421769,4.5766,0.00154477,0.146094,0,2.47563,0.00318648,0.0759076,1.63946,0,0.0315042,0.0247628,0.106591
9.380861678,4.56193,0.049277,0.0998962,0,2.48647,0.00917854,0.00756702,1.53198,0,0.035171,0.0214175,0.053067
9.427301587,4.53026,0.0560711,0.0970707,0.00737135,2.6105,0.0109808,0.0178721,1.22069,0,0.00699503,0.0227984,0.0140939
9.473741497,4.51815,0.0564491,0.109454,0.0119716,2.72049,0.0088391,0.026354,0.787681,0.0775816,0,0.0326458,0.0117058
9.520181406,4.42259,0.0340714,0.126217,0.0168359,2.76895,0.0779483,0.0493304,0.389051,0.302674,0,0.0482502,0.0324583
9.566621315,4.10125,0.00677262,0.118204,0.010918,2.42237,0.211738,0.0692474,0.14219,0.289309,0.809957,0.0701252,0.0431524
9.613061224,3.8253,0.0147719,0.101756,0.0990759,1.75484,0.155003,0.108877,0.0128434,0.413322,2.01142,0.194173,0.0355508
9.659501134,3.52514,0.0136535,0.109205,0.234161,1.47099,0.137819,0.10027,0.0152782,0.404125,2.77958,0.159613,0.0250165
9.705941043,3.27014,0.025242,0.107251,0.114154,1.6545,0.172284,0.118146,0.0161624,0.422385,2.83597,0.0672643,0.0363163
9.752380952,3.18946,0.0401431,0.0978075,0.0186149,1.73752,0.139355,0.0981142,0.122037,0.197736,2.58273,0.0840637,0.0494699
9.798820862,3.24322,0.0304641,0.0613307,0.0083972,1.63217,0.0298429,0.0278944,0.255679,0.0537902,2.62286,0.0954901,0.0521062
9.845260771,3.22033,0.03328,0.139517,0.012434,1.63908,0.00558467,0.0552074,0.133328,0.000215579,2.74604,0.0651837,0.029977
9.891700680,3.01333,0.0430339,0.248096,0.0113956,1.3679,0.0252518,0.0953152,0.000184397,0.0377349,2.8308,0,0.029179
9.938140590,3.15103,0.0318515,0.26047,0.00864077,1.69372,0.0211617,0.175266,0.00441973,0.122091,2.66872,0,0.0343376
9.984580499,3.2738,0.00125477,0.41859,0.000659739,2.12178,0.0424117,0.141211,0.000649686,0.186214,2.39418,0.071498,0.0379511
10.031020408,3.18893,0.00215713,0.523151,0,2.30707,0.0400885,0.0947067,0,0.174551,2.42801,0.0645161,0.0333623
10.077460317,3.06224,0.00204062,0.569616,0,2.3847,0.0339691,0.0896525,0,0.206844,2.71938,6.80223e-05,0.0364911
10.123900227,2.96641,0.00218519,1.1114,0,2.3414,0.0712964,0.080716,0.364013,0.231786,2.22695,0.0165696,0.0467963
